# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0000 -12.6708984375 5.02267837767390566e-15 0 0 0 9.24516265203415139e-18
0001 -12.6220703125 5.01706337512041617e-15 0 0 0 9.23714122205818026e-18
0002 -12.5732421875 5.01141222431777446e-15 0 0 0 9.22908418664838342e-18
0003 -12.5244140625 5.00572455553565823e-15 0 0 0 9.22099127695818949e-18
0004 -12.4755859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0005 -12.4267578125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0006 -12.3779296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0007 -12.3291015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0008 -12.2802734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0009 -12.2314453125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0010 -12.1826171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0011 -12.1337890625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0012 -12.0849609375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0013 -12.0361328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0014 -11.9873046875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0015 -11.9384765625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0016 -11.8896484375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0017 -11.8408203125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0018 -11.7919921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0019 -11.7431640625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0020 -11.6943359375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0021 -11.6455078125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0022 -11.5966796875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0023 -11.5478515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0024 -11.4990234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0025 -11.4501953125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0026 -11.4013671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0027 -11.3525390625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0028 -11.3037109375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0029 -11.2548828125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0030 -11.2060546875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0031 -11.1572265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0032 -11.1083984375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0033 -11.0595703125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0034 -11.0107421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0035 -10.9619140625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
